epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,2355.86,1.26293,0.93282,1.20203,0.95642,0.97149,0.98962,0.67179,1.05371,0.67615,1.11355,0.0009968,0.0009968,0.0009968
78,2385.8,1.25652,0.93797,1.19089,0.95693,0.97384,0.98608,0.68062,1.06565,0.68272,1.1154,0.0009836,0.0009836,0.0009836
79,2415.12,1.22252,0.91037,1.17357,0.95702,0.96378,0.98652,0.67207,1.06441,0.67121,1.1017,0.0009704,0.0009704,0.0009704
80,2444.42,1.24341,0.93255,1.20613,0.94716,0.97382,0.98528,0.6658,1.07126,0.68391,1.11733,0.0009572,0.0009572,0.0009572
81,2473.48,1.24423,0.93645,1.19778,0.96604,0.9497,0.98415,0.66685,1.07599,0.7,1.13079,0.000944,0.000944,0.000944
82,2506.23,1.23493,0.8977,1.18553,0.95259,0.96579,0.98648,0.66605,1.08363,0.68865,1.14245,0.0009308,0.0009308,0.0009308
83,2535.3,1.23842,0.91349,1.19477,0.9318,0.96224,0.98487,0.66392,1.07036,0.69156,1.14521,0.0009176,0.0009176,0.0009176
84,2564.45,1.22211,0.89831,1.18503,0.94513,0.96378,0.98655,0.67771,1.05106,0.6595,1.11294,0.0009044,0.0009044,0.0009044
85,2593.59,1.19706,0.94206,1.17222,0.96037,0.97384,0.98842,0.68904,1.01193,0.61872,1.09067,0.0008912,0.0008912,0.0008912
86,2622.89,1.21464,0.90845,1.17298,0.94183,0.96982,0.98442,0.67066,1.02833,0.68374,1.11741,0.000878,0.000878,0.000878
87,2652.05,1.21235,0.90951,1.17303,0.94562,0.97972,0.98679,0.68419,1.02397,0.67578,1.08831,0.0008648,0.0008648,0.0008648
88,2685.53,1.18873,0.89879,1.1691,0.96985,0.96982,0.98962,0.68374,1.0402,0.64494,1.11592,0.0008516,0.0008516,0.0008516
89,2713.37,1.20583,0.87159,1.16768,0.96812,0.97747,0.99028,0.70553,0.98647,0.62035,1.07553,0.0008384,0.0008384,0.0008384
90,2741.37,1.19251,0.87069,1.16546,0.9567,0.96781,0.98862,0.68755,1.02453,0.63995,1.10217,0.0008252,0.0008252,0.0008252
91,2769.37,1.19922,0.88121,1.17648,0.94629,0.97384,0.98686,0.71131,0.97538,0.61868,1.08491,0.000812,0.000812,0.000812
92,2797.45,1.18325,0.84824,1.15151,0.94897,0.97285,0.98664,0.69164,1.01751,0.63539,1.0833,0.0007988,0.0007988,0.0007988
93,2825.44,1.15937,0.84227,1.13368,0.95412,0.97183,0.98584,0.7049,0.97446,0.62043,1.07216,0.0007856,0.0007856,0.0007856
94,2853.59,1.16658,0.86279,1.16417,0.95459,0.97287,0.98708,0.69053,0.9882,0.6271,1.07732,0.0007724,0.0007724,0.0007724
95,2881.05,1.13912,0.85922,1.14164,0.95443,0.98189,0.98996,0.7117,0.95654,0.60885,1.06804,0.0007592,0.0007592,0.0007592
96,2909.93,1.15697,0.84772,1.15195,0.96432,0.97897,0.99088,0.71537,0.96558,0.60733,1.05956,0.000746,0.000746,0.000746
97,2942.08,1.13478,0.83324,1.14613,0.96932,0.97183,0.9907,0.7224,0.93479,0.59157,1.06425,0.0007328,0.0007328,0.0007328
98,2971.27,1.11891,0.79835,1.12873,0.95262,0.97787,0.98963,0.70452,0.98488,0.61255,1.08435,0.0007196,0.0007196,0.0007196
99,3001.66,1.13289,0.8146,1.13562,0.96155,0.97384,0.99021,0.71591,0.97545,0.60732,1.081,0.0007064,0.0007064,0.0007064
100,3031.08,1.16517,0.82978,1.14946,0.95463,0.96177,0.98858,0.70761,0.99097,0.61824,1.06483,0.0006932,0.0006932,0.0006932
